,GDP,Real GDP
1973-10-01,0.0,0.0
1974-01-01,0.010106422252011749,-0.008597725743732298
1974-04-01,0.02605067431862329,0.0023768322735318037
1974-07-01,0.019587518365340895,-0.00945142778288588
1974-10-01,0.025418166107487927,-0.0038814078278631703
1975-01-01,0.01027518645928338,-0.012172858757971028
1975-04-01,0.022112892886401836,0.007145362161192326
1975-07-01,0.035092105653468986,0.017116519672596198
1975-10-01,0.030418991472786594,0.01346524151995565
1976-01-01,0.033292637034993744,0.022487601205136043
1976-04-01,0.017492572042535848,0.007337005767250826
1976-07-01,0.018477249218822545,0.005487057642404647
1976-10-01,0.02529209279545075,0.007248509780973356
1977-04-01,0.06288460832571219,0.031485660529749104
1977-07-01,0.030431308000499868,0.018043558989618846
1979-01-01,0.19265621983381442,0.06852189074339843
1979-10-01,0.0780781363170413,0.011027877126241536
1980-01-01,0.02421506356917691,0.003145190755262206
1980-04-01,0.0026919087174110956,-0.020604721643770918
1980-07-01,0.021138204988146114,-0.00118847117300791
1980-10-01,0.04518633578424924,0.018649256052742258
1981-01-01,0.04643991054265606,0.019594294609354135
1981-04-01,0.012267436910370133,-0.007410636129350667
1981-07-01,0.03101217631948061,0.01197525210218009
1981-10-01,0.006197921921947902,-0.010895640870053014
1982-01-01,-0.0019860900543705595,-0.015535444794338882
1982-04-01,0.017612914141700964,0.0045619851533253986
1982-07-01,0.01030921028147902,-0.0038229927421408183
1982-10-01,0.010765161502672704,0.0003994627387828853
1983-04-01,0.05181009245682877,0.03623449119028055
1983-07-01,0.030828635359758216,0.019990642943219727
1984-10-01,0.12451876149137786,0.0777834024416415
1985-01-01,0.01967361616140173,0.009690723005598256
1985-04-01,0.015299392364558573,0.008804663531419399
1985-07-01,0.02139427649668102,0.01527121263417941
1985-10-01,0.013066780524089161,0.007433273444971578
1986-01-01,0.014356131981006826,0.009335247075076047
1986-04-01,0.008306761427841813,0.004503773625863294
1986-07-01,0.013712725560684147,0.009569928864379351
1986-10-01,0.010842358685053233,0.005369857182333737
1987-01-01,0.0138544799744591,0.007450196299007672
1987-04-01,0.017789331822159138,0.010788423160842164
1987-07-01,0.016311358756262884,0.008675668556268334
1987-10-01,0.025271288786798296,0.017170360958300268
1988-01-01,0.013054728100712731,0.00516654167185715
1988-04-01,0.022995356934204736,0.013139006174740953
1988-07-01,0.017880222796142542,0.005859283143099914
1990-01-01,0.11165709320847617,0.05250605618208248
1990-10-01,0.022482329681010604,-0.004846405892874106
1991-01-01,0.005070167149813232,-0.004678675840305235
1991-04-01,0.015191598325683175,0.007797180375009871
1991-07-01,0.012906280572338558,0.005053384308288056
1991-10-01,0.009443054288176045,0.003485639022466902
1992-01-01,0.01573331800898381,0.011971575741433593
1992-04-01,0.016919577903984573,0.010843206039467423
1992-07-01,0.014817108894267905,0.009881071886633341
1992-10-01,0.017385144094218097,0.010428798713650211
1993-01-01,0.0072829568541386,0.001669790919454961
1993-04-01,0.011810756258415545,0.00582113453283073
1993-07-01,0.010744552124787754,0.0047715658730362875
1993-10-01,0.019127888036468033,0.013600755600879477
1994-04-01,0.03324803407255872,0.023385612994760496
1994-07-01,0.011610984015164583,0.005845360161300439
1996-01-01,0.07330343776322024,0.041445086338157466
1996-04-01,0.02088996231540885,0.016678839473595275
1996-07-01,0.012270629067677286,0.008970109358134248
1996-10-01,0.0157860729654693,0.010383976491216806
1997-01-01,0.012456035403402899,0.00645560776944043
1997-04-01,0.01867469123143306,0.016619781050890126
1997-07-01,0.016903504884769882,0.012507785733139487
1997-10-01,0.011899585158325232,0.008587435626066453
1998-01-01,0.011473199521738087,0.009993754010374056
1998-04-01,0.011641485685413011,0.009258205069039516
1998-07-01,0.016878827260535578,0.012527645526688502
1998-10-01,0.018955395387199703,0.01616190702337028
1999-01-01,0.012663128251361622,0.0094382661459127
1999-04-01,0.012168706932512041,0.008350000298127824
1999-07-01,0.01683943562025192,0.013230270261286092
1999-10-01,0.02204513728516,0.01642779005040773
2001-01-01,0.057581037253000344,0.025679918058894025
2001-10-01,0.018169035621086183,0.004964729090929598
2002-01-01,0.011541241399882551,0.008282272155843984
2002-04-01,0.009640654703945817,0.0061550245578356755
2002-07-01,0.008870755897151472,0.00403528703998024
2002-10-01,0.007045950306080462,0.0013065576705910686
2003-01-01,0.010188191710784666,0.005167231869169786
2003-04-01,0.012406962547147904,0.008933778011626758
2003-07-01,0.02244393634589459,0.016668962697110157
2003-10-01,0.01777218661656188,0.01154045727617814
2004-01-01,0.012844885686098317,0.005729164860697633
2004-04-01,0.015881984463050003,0.0077873875800889
2004-07-01,0.015891599103924348,0.009412472246594472
2004-10-01,0.018033438743137342,0.01022027368972056
2005-04-01,0.0315666356462021,0.016028925901341307
2005-07-01,0.01702328066304637,0.007856219802722553
2007-01-01,0.08164332559617771,0.03494616412585194
2007-10-01,0.0351307864831516,0.018618180709345067
2008-01-01,-0.0005789987372118999,-0.004074294739200068
2008-04-01,0.010822601485135364,0.005722953445686851
2008-07-01,0.0022399212791917034,-0.005268929022154589
2008-10-01,-0.019517485704912074,-0.021830971480936268
2009-01-01,-0.012137491470548656,-0.011657225306796692
2009-04-01,-0.0034415730521607513,-0.001692381386635966
2009-07-01,0.004703768160121857,0.0036192999076889443
2009-10-01,0.014005651094666005,0.010679619498303428
2010-01-01,0.007737429603266621,0.005000534814818991
2010-04-01,0.01460126514677551,0.0096770463932625
2010-07-01,0.010775028065392878,0.007731441503026959
2010-10-01,0.011086407286413857,0.005195951592372738
2011-04-01,0.01620330317095875,0.004355011498928141
2011-07-01,0.005794362667350672,-0.00038767162657504795
2012-10-01,0.049381438693695046,0.027053087314951263
2013-01-01,0.01270761844453605,0.008677895476911557
2013-04-01,0.004239628842297005,0.0013938521976570861
2013-07-01,0.012666029164496662,0.007916534107949902
2013-10-01,0.013130217441027492,0.007111710015635708
2014-01-01,0.0006517787717981172,-0.0035010973651269373
2014-04-01,0.01857307401809405,0.012841289071790607
2014-07-01,0.016064179754989638,0.011649616444854738
2014-10-01,0.006160829707020143,0.004489934024885178
2015-01-01,0.007775252148993994,0.008133136264685703
2015-04-01,0.011247573000088495,0.005800014316593494
2015-07-01,0.006224844667444662,0.0032337267254958224
2015-10-01,0.0013721011025316088,0.0014623434657636825
2016-01-01,0.005085457028632723,0.005891798685635052
2016-04-01,0.010111690953734875,0.0030238880667263768
2016-07-01,0.00880321145658658,0.0060111537926921255
2018-01-01,0.0735016384952294,0.0402064059505467
2018-10-01,0.03293311806026411,0.016087864448729006
2019-01-01,0.0093094526998041,0.005427106096961509
2019-04-01,0.012342928227816241,0.006730089404473283
2019-07-01,0.012193754099199205,0.008899664727279433
2019-10-01,0.00811324104736233,0.00443046893899357
2020-01-01,-0.007762640296478551,-0.011751542008039073
2020-04-01,-0.0882764497703411,-0.08484336154467986
2020-07-01,0.08788107348417618,0.0785448311704573
2020-10-01,0.016022429660148996,0.009632132789008763
2021-01-01,0.028065065705105585,0.015427919989693617
2021-04-01,0.032853317558377615,0.01707015904893705
2021-07-01,0.021846116277332017,0.006566944913920514
2021-10-01,0.03391451192802508,0.016956940198125325
2022-04-01,0.03693583025029934,-0.0055437866927225965
2022-07-01,0.01883143362791473,0.008011552091951923
