,CPI,PPI
2009-12-01,0.0,0.0
2010-01-01,0.0006487322116246474,0.008973080757726848
2010-02-01,-0.0009517766497462166,-0.0019762845849802257
2010-03-01,0.00033136813619227823,0.000990099009900991
2010-04-01,0.00023004053314190642,0.0029673590504453173
2010-06-01,-0.0009383495167959444,0.0
2010-07-01,0.0018692535416828804,0.001972386587770991
2010-09-01,0.003078973369178062,0.004921259842519676
2010-10-01,0.00348184629481163,0.003917727717923647
2010-11-01,0.0025338416234848005,0.0029268292682926855
2010-12-01,0.004016576346828282,0.0029182879377431803
2011-02-01,0.006467941507311448,0.011639185257032114
2011-03-01,0.0051735482068338,0.006711409395973256
2011-04-01,0.0046940989750992035,0.004761904761904745
2011-06-01,0.003181714734507679,0.0037914691943128354
2011-07-01,0.0026200368317570444,0.0018885741265344258
2011-08-01,0.003154462166418792,0.0018850141376061114
2011-09-01,0.0021715478580843772,0.0037629350893697566
2011-11-01,0.0025243052644121633,-0.0009372071227742307
2011-12-01,0.00023770849015480877,-0.0009380863039398779
2012-02-01,0.004867465001342275,0.00657276995305156
2012-03-01,0.002093470387029228,0.001865671641791078
2012-05-01,-0.00041082659184377146,0.0018621973929235924
2012-06-01,-0.0008263631713106845,-0.0027881040892192566
2012-08-01,0.006100015753268906,0.0018639328984155767
2012-10-01,0.007480927983020136,0.007441860465116301
2012-11-01,-0.0016793444944266378,0.0009233610341643494
2013-01-01,0.0018594675004000027,0.002767527675276771
2013-02-01,0.005429926752100966,0.0018399264029438367
2013-03-01,-0.0028119191025899326,0.0
2013-04-01,-0.002087979266581219,-0.0018365472910927272
2013-05-01,0.00041415548950163306,-0.0009199632014720294
2013-07-01,0.004342520041570985,0.005524861878453136
2013-08-01,0.0023872906826962748,0.0009157509157509125
2013-10-01,0.0009123774929751249,0.0018298261665141702
2013-11-01,0.0018444894273523804,0.0018264840182649067
2014-01-01,0.005074754378470825,0.003646308113035568
2014-04-01,0.005015130393390077,0.006357856494096259
2014-05-01,0.0019030059035471947,0.0018050541516245744
2014-07-01,0.002448104407432039,0.002702702702702675
2014-08-01,-0.00016000134737970129,0.0
2014-09-01,7.159100480080838e-05,-0.0017969451931716396
2014-10-01,-0.00019791390324119806,0.0018001800180018623
2014-12-01,-0.004961462325738131,-0.004492362982928988
2015-01-01,-0.0063703164417655556,-0.006317689530685899
2015-04-01,0.006283360383732228,-0.004541326067211582
2015-05-01,0.003297745341246827,0.0036496350364965124
2015-06-01,0.0027679208104607333,0.0027272727272726893
2015-07-01,0.0015863197801873063,0.0018132366273799772
2015-09-01,-0.0022517791575993318,-0.005429864253393646
2015-10-01,0.0009894820166906904,-0.0027297543221110887
2015-12-01,0.00011777918925859332,0.0
2016-01-01,-0.0004584435630738959,0.0036496350364965124
2016-02-01,-0.0013296753235823022,-0.0027272727272726893
2016-03-01,0.0031347962382444194,0.0
2016-04-01,0.0038306451612901693,0.001823154056517895
2016-06-01,0.005146615786302489,0.006369426751592355
2016-07-01,-0.0005037007434789409,-0.0009041591320071429
2016-08-01,0.0018492217858316895,-0.0018099547511312153
2016-09-01,0.0026232097944252075,0.0027198549410698547
2016-11-01,0.0035243971207750135,0.004520795660036159
2016-12-01,0.002524522158776188,0.0027002700270029045
2017-02-01,0.005642173287668362,0.004488330341113178
2017-03-01,-0.00046720162618951733,0.0017873100983019086
2017-05-01,0.00045921965460116176,0.003568242640499708
2017-06-01,0.0006516286618252209,0.000888888888888939
2017-08-01,0.00417753713707647,0.00444049733570151
2017-09-01,0.005106389920997767,0.0035366931918656697
2017-11-01,0.0034451275184124164,0.007048458149779613
2017-12-01,0.0021068892447551058,0.0008748906386701893
2018-01-01,0.004253344363511546,0.0034965034965033226
2018-02-01,0.0026922876006090224,0.002613240418118501
2018-03-01,0.000192362410782021,0.0017376194613381024
2018-05-01,0.0048682370571007105,0.005203816131830186
2018-06-01,0.0009011451720948305,0.003451251078515849
2018-08-01,0.002569536845963283,0.0017196904557179593
2018-10-01,0.004406686719938824,0.008583690987124415
2018-11-01,-0.0007041919199911595,-0.0008510638297871687
2019-01-01,0.0004909063556537419,-0.0034071550255536653
2019-02-01,0.002390015748779284,0.0017094017094017033
2019-03-01,0.0034738396191409393,0.0034129692832762792
2019-04-01,0.003969284269990103,0.005102040816326703
2019-05-01,0.0003095477859496043,0.0008460236886631556
2019-07-01,0.001547259978847526,0.0008453085376163294
2019-08-01,0.0014627373526019394,0.0016891891891890332
2019-10-01,0.004627839677574297,0.000843170320404818
2019-11-01,0.002173034162118226,-0.0008424599831509116
2020-01-01,0.004786600621404569,0.00590219224283306
2020-04-01,-0.011369032223195852,-0.022632020117351215
2020-05-01,-0.0008746856598409458,0.005145797598627766
2020-06-01,0.0043694404927541175,0.0025597269624573205
2020-07-01,0.005027511226292525,0.005957446808510625
2020-09-01,0.006779516644855432,0.004230118443316444
2020-10-01,0.0009883512992781007,0.005897219882055715
2020-12-01,0.006719531592171757,0.005025125628140614
2021-01-01,0.0023470147117750084,0.01083333333333325
2021-02-01,0.003761660003807288,0.00577081615828523
2021-03-01,0.004839969958807089,0.006557377049180246
2021-04-01,0.006628566251689394,0.010586319218240936
2021-06-01,0.01458356770540381,0.01692183722804197
2021-07-01,0.004453742067349387,0.009928684627575235
2021-09-01,0.008330757569067426,0.013785473860952635
2021-10-01,0.009101259725283528,0.006323040012382819
2021-11-01,0.007916187500452088,0.010959262307059348
2021-12-01,0.007807370358543286,0.006025012932477258
2022-02-01,0.013254440397740153,0.019955536735126067
2022-03-01,0.010055865921787532,0.015954568033035965
2022-04-01,0.003962125006957251,0.005969277921698879
2022-06-01,0.021194618361739526,0.01670620153351754
2022-07-01,-0.00033929589316261666,-0.0028182881931562154
2022-08-01,0.002348724493259402,0.00020034201243546157
2022-09-01,0.00412772585669785,0.0028757627567264077
2022-11-01,0.006943437456793378,0.007018995513264015
2022-12-01,0.001312801827205723,-0.0015016823091908993
2023-02-01,0.008889929429077847,0.004291906386782562
2023-03-01,0.0005304195618733853,-0.0049658114828210476
